InstanceID,h,opt
1,38.0,39.0,
2,38.0,39.0,
3,37.0,38.0,
4,36.0,37.0,
5,37.0,38.0,
6,36.0,36.0,
7,39.0,39.0,
8,36.0,36.0,
9,37.0,38.0,
10,37.0,38.0,
11,38.0,38.0,
12,38.0,38.0,
13,38.0,38.0,
14,39.0,39.0,
15,37.0,37.0,
16,37.0,38.0,
17,36.0,37.0,
18,39.0,40.0,
19,37.0,38.0,
20,34.0,35.0,
21,37.0,38.0,
22,38.0,38.0,
23,38.0,39.0,
24,36.0,36.0,
25,37.0,38.0,
26,38.0,39.0,
27,35.0,36.0,
28,32.0,33.0,
29,38.0,39.0,
30,36.0,37.0,
31,36.0,37.0,
32,32.0,33.0,
33,37.0,38.0,
34,35.0,36.0,
35,38.0,39.0,
36,37.0,37.0,
37,36.0,37.0,
38,37.0,37.0,
39,37.0,37.0,
40,35.0,36.0,
41,36.0,36.0,
42,38.0,38.0,
43,38.0,39.0,
44,37.0,38.0,
45,37.0,37.0,
46,38.0,39.0,
47,38.0,39.0,
48,35.0,36.0,
49,38.0,38.0,
50,39.0,39.0,
51,35.0,36.0,
52,36.0,37.0,
53,35.0,36.0,
54,38.0,38.0,
55,37.0,38.0,
56,37.0,37.0,
57,37.0,38.0,
58,37.0,37.0,
59,35.0,35.0,
60,38.0,38.0,
61,35.0,36.0,
62,38.0,39.0,
63,36.0,37.0,
64,38.0,39.0,
65,38.0,38.0,
66,37.0,37.0,
67,37.0,37.0,
68,36.0,36.0,
69,38.0,39.0,
70,37.0,38.0,
71,37.0,37.0,
72,38.0,38.0,
73,36.0,37.0,
74,36.0,37.0,
75,36.0,37.0,
76,38.0,39.0,
77,37.0,37.0,
78,36.0,37.0,
79,38.0,39.0,
80,35.0,36.0,
81,36.0,37.0,
82,39.0,39.0,
83,36.0,37.0,
84,35.0,36.0,
85,35.0,36.0,
86,37.0,37.0,
87,39.0,40.0,
88,39.0,39.0,
89,39.0,40.0,
90,36.0,37.0,
91,38.0,38.0,
92,36.0,37.0,
93,39.0,39.0,
94,37.0,38.0,
95,37.0,38.0,
96,38.0,39.0,
97,37.0,38.0,
98,37.0,38.0,
99,37.0,38.0,
100,36.0,36.0,
